Date;EK;RKO
0;31.10.2021;186;502
1;30.11.2021;181;487
2;31.12.2021;181;476
3;31.01.2022;182;435
4;28.02.2022;180;412
5;31.03.2022;179;386
6;30.04.2022;184;352
7;31.05.2022;184;342
8;30.06.2022;188;323
9;31.07.2022;179;308
10;31.08.2022;159;304
11;30.09.2022;659;4830
12;31.10.2022;1341;8633
13;30.11.2022;2061;13256
14;31.12.2022;2910;17615
15;31.01.2023;3562;21139
16;28.02.2023;4296;25694
17;31.03.2023;5276;31100
18;30.04.2023;6161;36134
19;31.05.2023;7017;40602
20;30.06.2023;7852;45139
21;31.07.2023;8396;46646 
22;31.08.2023;8511;46248
23;30.09.2023;8546;46923
24;31.10.2023;0;0
25;30.11.2023;0;0
26;31.12.2023;0;0